"","error_flag","person_id","day_id","tripnum","tripid","depart_time_timestamp","arrival_time_timestamp","mode_1","distance_miles","travel_time","speed_mph","origin_lat","origin_lng","dest_lat","dest_lng","origin_purpose","dest_purpose","arrive_date","trace_quality_flag","day_is_complete_a","user_added","user_merged","user_split"
"1",NA,2303448801,230344880104,26,"2303448801026",2023-05-13 06:34:00,2023-05-13 06:40:00,1,0.274646,12,2.28428869613205,47.6152,-122.1782,47.6141,-122.175,1,51,2023-05-13,0,1,0,995,995
"2",NA,2303448801,230344880104,27,"2303448801027",2023-05-13 06:40:00,2023-05-13 06:45:00,1,0.274646,11,2.2406030360066,47.6141,-122.175,47.6152,-122.1782,51,1,2023-05-13,0,1,0,995,995
"3",NA,2303448801,230344880104,28,"2303448801028",2023-05-13 07:32:00,2023-05-13 08:13:00,4,27.47517,81,43.4963496937321,47.616,-122.1812,47.4873,-121.7238,1,51,2023-05-13,0,1,0,1,1
"4","missing next trip link",2303448801,230344880104,29,"2303448801029",2023-05-13 08:31:00,2023-05-13 10:56:00,4,5.536417,289,1.56396096230827,47.4875,-121.7237,47.5072,-121.7384,51,50,2023-05-13,0,1,0,1,995
"5","missing next trip link",2303448801,230344880104,30,"2303448801030",2023-05-13 13:48:00,2023-05-13 14:24:00,4,9.100602,72,14.7231004593326,47.4931,-121.7384,47.5089,-121.8845,50,51,2023-05-13,0,1,0,1,995
"6","missing next trip link",2303448801,230344880104,31,"2303448801031",2023-05-13 13:48:00,2023-05-13 14:24:00,4,9.100602,72,14.7231004593326,47.4931,-121.7238,47.5089,-121.8845,51,50,2023-05-13,0,1,0,1,995
"7","missing next trip link",2303448801,230344880104,32,"2303448801032",2023-05-13 14:30:00,2023-05-13 15:35:00,4,14.617757,131,9.86964680312703,47.5364,-122.0594,47.6152,-122.1782,50,1,2023-05-13,0,1,0,1,995
"8","missing prior trip link",2303448801,230344880104,33,"2303448801033",2023-05-13 14:30:00,2023-05-13 15:35:00,4,14.617757,131,9.86964680312703,47.5364,-122.0678,47.6152,-122.1782,1,1,2023-05-13,0,1,0,1,995
"9",NA,2303448801,230344880104,34,"2303448801034",2023-05-13 15:38:00,2023-05-13 15:45:00,1,0.350453,14,2.32044085457736,47.6152,-122.1782,47.613,-122.175,1,51,2023-05-13,0,1,0,995,995
"10",NA,2303448801,230344880104,35,"2303448801035",2023-05-13 15:45:00,2023-05-13 15:51:00,1,0.350453,11,3.04700943360304,47.613,-122.175,47.6152,-122.1782,51,1,2023-05-13,0,1,0,995,995
"11","missing next trip link",2303448801,230344880104,36,"2303448801036",2023-05-13 17:27:00,2023-05-13 17:31:00,3,1.654711,7,22.9976216981011,47.6152,-122.1781,47.6249,-122.155,1,32,2023-05-13,0,1,0,995,995
"12","missing prior trip link",2303448801,230344880104,37,"2303448801037",2023-05-13 17:27:00,2023-05-13 18:00:00,3,12.925142,64,20.5571528319741,47.6153,-122.155,47.548,-122.315,32,50,2023-05-13,0,1,0,995,995
"13",NA,2303448801,230344880104,38,"2303448801038",2023-05-13 19:34:00,2023-05-13 20:03:00,3,14.845801,58,32.8366087980893,47.5478,-122.3152,47.6311,-122.145,50,53,2023-05-13,0,1,0,1,995
"14",NA,2303448801,230344880104,39,"2303448801039",2023-05-13 20:03:00,2023-05-13 20:13:00,3,2.517175,20,17.2566862807279,47.6311,-122.145,47.6153,-122.1784,53,1,2023-05-13,0,1,0,1,995
"15",NA,2310100801,231010080104,37,"2310100801037",2023-04-09 11:11:00,2023-04-09 11:24:00,3,3.68411,26,16.5178734464649,47.4899,-122.2401,47.533,-122.2707,150,1,2023-04-09,0,1,0,995,995
"16",NA,2310100801,231010080104,38,"2310100801038",2023-04-09 14:23:00,2023-04-09 14:30:00,3,0.834502,12,7.76684019354863,47.533,-122.2709,47.5372,-122.2816,1,45,2023-04-09,0,1,0,995,995
"17",NA,2310100801,231010080104,39,"2310100801039",2023-04-09 14:39:00,2023-04-09 14:43:00,3,0.836366,8,12.4705258438772,47.5374,-122.2818,47.5331,-122.2709,45,1,2023-04-09,0,1,0,995,995
"18",NA,2310100801,231010080104,40,"2310100801040",2023-04-09 17:45:00,2023-04-09 18:04:00,3,6.165866,37,24.5861593033743,47.5327,-122.271,47.6129,-122.3136,1,150,2023-04-09,0,1,0,995,995
"19","excessive speed",2310100801,231010080104,41,"2310100801041",2023-04-09 18:33:00,2023-04-09 18:33:00,1,0.34424,0,981.265626838538,47.6128,-122.3132,47.6146,-122.3184,150,53,2023-04-09,0,1,0,995,995
"20",NA,2310100801,231010080104,42,"2310100801042",2023-04-09 21:28:00,2023-04-09 21:36:00,3,0.331812,16,2.18608373974031,47.6145,-122.3179,47.6131,-122.3133,53,150,2023-04-09,0,1,0,995,995
"21",NA,2310100801,231010080104,43,"2310100801043",2023-04-09 21:36:00,2023-04-09 22:02:00,3,9.846248,51,32.6205317815236,47.6131,-122.3133,47.4898,-122.2404,150,150,2023-04-09,0,1,0,995,995
"22",NA,2310100801,231010080104,44,"2310100801044",2023-04-09 22:12:00,2023-04-09 22:23:00,3,3.677275,22,19.4432728345576,47.4898,-122.2403,47.5329,-122.2708,150,1,2023-04-09,0,1,0,995,995
"23","missing next trip link",2321061901,232106190106,16,"2321061901016",2023-05-21 14:23:00,2023-05-21 14:41:00,3,4.0967,34,12.8335231592163,47.6106,-122.2037,47.6195,-122.1308,1,50,2023-05-21,0,1,0,995,995
"24","missing next trip link",2321061901,232106190106,18,"2321061901017",2023-05-21 16:09:00,2023-05-21 16:17:00,3,2.780015,14,22.1358716740642,47.6208,-122.1308,47.6156,-122.1817,1,30,2023-05-21,0,1,0,995,995
"25","missing next trip link",2321061901,232106190106,17,"2321061901018",2023-05-21 14:41:00,2023-05-21 16:50:00,3,3.971805,258,1.73723779141342,47.6195,-122.1828,47.6113,-122.2038,50,1,2023-05-21,0,1,0,1,995
"26","missing prior trip link",2321061901,232106190106,19,"2321061901019",2023-05-21 20:16:00,2023-05-21 20:29:00,3,1.148915,25,4.32255510556107,47.6113,-122.2031,47.6192,-122.1914,30,50,2023-05-21,0,1,0,995,995
"27",NA,2321061901,232106190106,20,"2321061901020",2023-05-21 20:29:00,2023-05-21 20:35:00,3,1.115983,11,8.84659695402929,47.6192,-122.1915,47.611,-122.2029,50,1,2023-05-21,0,1,0,995,995
"28",NA,2310151701,231015170101,1,"2310151701001",2023-04-08 06:33:00,2023-04-08 07:05:00,4,23.677349,64,48.7655688150427,47.3674,-122.1863,47.6656,-122.3168,97,10,2023-04-08,0,1,0,995,995
"29",NA,2310151701,231015170101,2,"2310151701002",2023-04-08 09:47:00,2023-04-08 10:01:00,97,1.057574,26,4.5937242284858,47.6655,-122.3168,47.666,-122.2998,10,11,2023-04-08,0,1,0,995,995
"30",NA,2310151701,231015170101,3,"2310151701003",2023-04-08 10:05:00,2023-04-08 10:14:00,97,1.092371,19,10.4278464299589,47.666,-122.2998,47.6652,-122.3163,11,10,2023-04-08,0,1,0,995,995
"31",NA,2310151701,231015170101,4,"2310151701004",2023-04-08 11:42:00,2023-04-08 11:48:00,97,0.926464,12,10.2657038286522,47.6654,-122.3166,47.6684,-122.3007,10,11,2023-04-08,0,1,0,1,995
"32",NA,2310151701,231015170101,5,"2310151701005",2023-04-08 11:48:00,2023-04-08 12:02:00,97,0.977417,28,4.4893860066402,47.6684,-122.3007,47.6652,-122.3165,11,10,2023-04-08,0,1,0,1,995
"33",NA,2310151701,231015170101,6,"2310151701006",2023-04-08 12:32:00,2023-04-08 12:38:00,97,1.835531,11,15.4021542691623,47.6654,-122.3166,47.6447,-122.3234,10,11,2023-04-08,0,1,0,1,995
"34",NA,2310151701,231015170101,7,"2310151701007",2023-04-08 12:38:00,2023-04-08 12:48:00,97,1.754131,19,9.16309499410305,47.6447,-122.3234,47.6652,-122.3164,11,10,2023-04-08,0,1,0,1,995
