"","user_added","user_merged","user_split","diary_platform","trace_quality_flag","hh_iscomplete_a","error_flag","n"
"1",0,1,1,"rmove",0,0,"""change mode"" purpose",25
"2",0,1,1,"rmove",0,0,"PUDO, no +/- travelers",6
"3",0,1,1,"rmove",0,0,"driver, no-drive mode",17
"4",0,1,1,"rmove",0,0,"ends day, not home",3
"5",0,1,1,"rmove",0,0,"excessive speed",3
"6",0,1,1,"rmove",0,0,"missing next trip link",23
"7",0,1,1,"rmove",0,0,"missing prior trip link",17
"8",0,1,1,"rmove",0,0,"mode_1 missing",11
"9",0,1,1,"rmove",0,0,"no activity time after",5
"10",0,1,1,"rmove",0,0,"purpose at odds w/ dest",1
"11",0,1,1,"rmove",0,0,"same dest as prior",8
"12",0,1,1,"rmove",0,0,"time overlap",14
"13",0,1,1,"rmove",0,0,"too slow",9
"14",0,1,1,"rmove",0,0,NA,230
"15",0,1,1,"rmove",0,1,"""change mode"" purpose",136
"16",0,1,1,"rmove",0,1,"PUDO, no +/- travelers",21
"17",0,1,1,"rmove",0,1,"driver, no-drive mode",41
"18",0,1,1,"rmove",0,1,"ends day, not home",11
"19",0,1,1,"rmove",0,1,"excessive speed",5
"20",0,1,1,"rmove",0,1,"missing next trip link",44
"21",0,1,1,"rmove",0,1,"missing prior trip link",34
"22",0,1,1,"rmove",0,1,"mode_1 missing",36
"23",0,1,1,"rmove",0,1,"no activity time after",1
"24",0,1,1,"rmove",0,1,"o purpose not equal to prior d purpose",1
"25",0,1,1,"rmove",0,1,"same dest as prior",42
"26",0,1,1,"rmove",0,1,"time overlap",45
"27",0,1,1,"rmove",0,1,"too long at dest?",1
"28",0,1,1,"rmove",0,1,"too slow",19
"29",0,1,1,"rmove",0,1,NA,652
"30",0,1,1,"rmove",1,0,"""change mode"" purpose",30
"31",0,1,1,"rmove",1,0,"PUDO, no +/- travelers",21
"32",0,1,1,"rmove",1,0,"dest disagrees w/ Bing",109
"33",0,1,1,"rmove",1,0,"driver, no-drive mode",13
"34",0,1,1,"rmove",1,0,"ends day, not home",10
"35",0,1,1,"rmove",1,0,"excessive speed",3
"36",0,1,1,"rmove",1,0,"missing next trip link",28
"37",0,1,1,"rmove",1,0,"missing prior trip link",28
"38",0,1,1,"rmove",1,0,"mode_1 missing",9
"39",0,1,1,"rmove",1,0,"same dest as prior",11
"40",0,1,1,"rmove",1,0,"time overlap",10
