"","error_flag","person_id","day_id","tripnum","tripid","depart_time_timestamp","arrival_time_timestamp","mode_1","distance_miles","travel_time","speed_mph","origin_lat","origin_lng","dest_lat","dest_lng","origin_purpose","dest_purpose","arrive_date","trace_quality_flag","day_is_complete_a","user_added","user_merged","user_split"
"1",NA,2310151701,231015170101,1,"2310151701001",2023-04-08 06:33:00,2023-04-08 07:05:00,4,23.677349,64,48.7655688150427,47.3674,-122.1863,47.6656,-122.3168,97,10,2023-04-08,0,1,0,995,995
"2",NA,2310151701,231015170101,2,"2310151701002",2023-04-08 09:47:00,2023-04-08 10:01:00,97,1.057574,26,4.5937242284858,47.6655,-122.3168,47.666,-122.2998,10,11,2023-04-08,0,1,0,995,995
"3",NA,2310151701,231015170101,3,"2310151701003",2023-04-08 10:05:00,2023-04-08 10:14:00,97,1.092371,19,10.4278464299589,47.666,-122.2998,47.6652,-122.3163,11,10,2023-04-08,0,1,0,995,995
"4",NA,2310151701,231015170101,4,"2310151701004",2023-04-08 11:42:00,2023-04-08 11:48:00,97,0.926464,12,10.2657038286522,47.6654,-122.3166,47.6684,-122.3007,10,11,2023-04-08,0,1,0,1,995
"5",NA,2310151701,231015170101,5,"2310151701005",2023-04-08 11:48:00,2023-04-08 12:02:00,97,0.977417,28,4.4893860066402,47.6684,-122.3007,47.6652,-122.3165,11,10,2023-04-08,0,1,0,1,995
"6",NA,2310151701,231015170101,6,"2310151701006",2023-04-08 12:32:00,2023-04-08 12:38:00,97,1.835531,11,15.4021542691623,47.6654,-122.3166,47.6447,-122.3234,10,11,2023-04-08,0,1,0,1,995
"7",NA,2310151701,231015170101,7,"2310151701007",2023-04-08 12:38:00,2023-04-08 12:48:00,97,1.754131,19,9.16309499410305,47.6447,-122.3234,47.6652,-122.3164,11,10,2023-04-08,0,1,0,1,995
"8",NA,2310151701,231015170101,8,"2310151701008",2023-04-08 15:49:00,2023-04-08 15:55:00,97,0.043496,11,6.90314479272092,47.665,-122.3166,47.6654,-122.3162,10,11,2023-04-08,0,1,0,995,995
"9",NA,2310151701,231015170101,9,"2310151701009",2023-04-08 16:58:00,2023-04-08 17:00:00,97,1.186198,3,36.9554215186724,47.6654,-122.3166,47.6621,-122.3338,11,11,2023-04-08,0,1,0,1,995
"10",NA,2310151701,231015170101,10,"2310151701010",2023-04-08 17:00:00,2023-04-08 17:36:00,97,1.03334,73,1.91299965081801,47.6621,-122.3338,47.6653,-122.3164,11,10,2023-04-08,0,1,0,1,995
"11",NA,2310151701,231015170101,11,"2310151701011",2023-04-08 20:27:00,2023-04-08 20:38:00,97,0.80654,21,8.01088521506075,47.6652,-122.3165,47.6568,-122.3176,10,11,2023-04-08,0,1,0,995,995
"12","ends day, not home",2310151701,231015170101,12,"2310151701012",2023-04-08 20:38:00,2023-04-08 20:40:00,97,0.622614,5,14.2624993243368,47.6568,-122.3176,47.6653,-122.3164,11,10,2023-04-08,0,1,0,995,995
"13",NA,2309611301,230961130101,1,"2309611301003",2023-04-23 09:54:00,2023-04-23 10:01:00,1,0.291423,13,2.38924108921309,47.62,-122.3586,47.6238,-122.358,1,30,2023-04-23,1,0,0,995,995
